0,1,2,3
Indonesia,Transportation,Edit,
Indonesia,One-way Ticket (Local Transport),0.32 $,0.22-0.64
Indonesia,Monthly Pass (Regular Price),9.59 $,6.39-19.17
Indonesia,Taxi Start (Normal Tariff),0.54 $,0.45-1.28
Indonesia,Taxi 1km (Normal Tariff),0.33 $,0.26-0.64
Indonesia,Taxi 1hour Waiting (Normal Tariff),3.13 $,1.60-6.39
Indonesia,Gasoline (1 liter),0.82 $,0.64-0.91
Indonesia,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,562.13 $","22,814.20-36,745.56"
Indonesia,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"27,868.67 $","22,366.86-32,847.33"
Indonesia,Utilities (Monthly),Edit,
Indonesia,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",62.42 $,31.95-127.81
Indonesia,Mobile Phone Monthly Plan with Calls and 10GB+ Data,3.22 $,2.04-7.99
Indonesia,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",27.82 $,19.17-50.49
Indonesia,Sports And Leisure,Edit,
Indonesia,"Fitness Club, Monthly Fee for 1 Adult",26.29 $,12.78-63.91
Indonesia,Tennis Court Rent (1 Hour on Weekend),8.91 $,3.20-15.98
Indonesia,"Cinema, International Release, 1 Seat",3.20 $,2.56-4.79
Indonesia,Childcare,Edit,
Indonesia,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",102.72 $,38.34-191.72
Indonesia,"International Primary School, Yearly for 1 Child","6,404.64 $","2,300.59-15,976.33"
Indonesia,Clothing And Shoes,Edit,
Indonesia,1 Pair of Jeans (Levis 501 Or Similar),38.04 $,12.78-79.88
Indonesia,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",27.60 $,12.78-44.73
Indonesia,1 Pair of Nike Running Shoes (Mid-Range),71.67 $,38.34-115.03
Indonesia,1 Pair of Men Leather Business Shoes,63.86 $,28.76-127.81
Indonesia,Rent Per Month,Edit,
Indonesia,Apartment (1 bedroom) in City Centre,301.68 $,127.81-639.05
Indonesia,Apartment (1 bedroom) Outside of Centre,180.18 $,76.69-447.34
Indonesia,Apartment (3 bedrooms) in City Centre,772.10 $,"319.53-1,917.16"
Indonesia,Apartment (3 bedrooms) Outside of Centre,427.72 $,"191.72-1,150.30"
Indonesia,Buy Apartment Price,Edit,
Indonesia,Price per Square Meter to Buy Apartment in City Centre,"1,596.84 $","881.89-3,195.27"
Indonesia,Price per Square Meter to Buy Apartment Outside of Centre,834.85 $,"415.38-1,789.35"
Indonesia,Salaries And Financing,Edit,
Indonesia,Average Monthly Net Salary (After Tax),324.74 $,
Indonesia,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.30,5.00-12.50
Philippines,Restaurants,Edit,Range
Philippines,"Meal, Inexpensive Restaurant",3.53 $,1.60-7.94
Philippines,"Meal for 2 People, Mid-range Restaurant, Three-course",21.17 $,12.35-52.92
Philippines,McMeal at McDonalds (or Equivalent Combo Meal),3.18 $,2.65-4.04
Philippines,Domestic Beer (0.5 liter draught),1.23 $,0.88-2.65
Philippines,Imported Beer (0.33 liter bottle),2.12 $,1.41-4.06
Philippines,Cappuccino (regular),2.38 $,0.88-4.41
Philippines,Coke/Pepsi (0.33 liter bottle),0.71 $,0.39-1.59
Philippines,Water (0.33 liter bottle),0.39 $,0.26-0.88
Philippines,Markets,Edit,
Philippines,"Milk (regular), (1 liter)",1.68 $,1.32-2.17
Philippines,Loaf of Fresh White Bread (500g),1.18 $,0.79-1.94
Philippines,"Rice (white), (1kg)",0.90 $,0.71-1.16
Philippines,Eggs (regular) (12),1.78 $,1.23-2.54
Philippines,Local Cheese (1kg),6.85 $,2.47-17.64
Philippines,Chicken Fillets (1kg),4.07 $,2.29-6.17
Philippines,Beef Round (1kg) (or Equivalent Back Leg Red Meat),6.57 $,4.41-10.58
Philippines,Apples (1kg),2.75 $,1.06-5.29
Philippines,Banana (1kg),1.44 $,0.88-2.65
Philippines,Oranges (1kg),2.56 $,0.88-5.29
Philippines,Tomato (1kg),1.51 $,0.53-2.65
Philippines,Potato (1kg),1.87 $,0.71-3.26
Philippines,Onion (1kg),2.36 $,1.06-4.59
Philippines,Lettuce (1 head),1.35 $,0.53-2.65
Philippines,Water (1.5 liter bottle),0.71 $,0.44-1.41
Philippines,Bottle of Wine (Mid-Range),6.79 $,3.53-13.23
Philippines,Domestic Beer (0.5 liter bottle),1.14 $,0.74-1.76
Philippines,Imported Beer (0.33 liter bottle),1.78 $,1.06-2.65
Philippines,Cigarettes 20 Pack (Marlboro),2.65 $,2.12-3.53
Philippines,Transportation,Edit,
Philippines,One-way Ticket (Local Transport),0.26 $,0.18-0.62
Philippines,Monthly Pass (Regular Price),10.29 $,5.29-21.17
Philippines,Taxi Start (Normal Tariff),0.71 $,0.71-0.97
Philippines,Taxi 1km (Normal Tariff),0.25 $,0.21-0.53
Philippines,Taxi 1hour Waiting (Normal Tariff),2.12 $,1.76-3.53
Philippines,Gasoline (1 liter),1.27 $,1.11-1.50
Philippines,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,931.13 $","17,639.33-28,205.29"
Philippines,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"20,453.32 $","17,639.33-24,695.06"
Philippines,Utilities (Monthly),Edit,
Philippines,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",98.00 $,52.92-176.39
Philippines,Mobile Phone Monthly Plan with Calls and 10GB+ Data,43.82 $,17.64-44.08
Philippines,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.85 $,26.46-52.92
Philippines,Sports And Leisure,Edit,
Philippines,"Fitness Club, Monthly Fee for 1 Adult",31.80 $,8.82-52.92
Philippines,Tennis Court Rent (1 Hour on Weekend),5.17 $,2.65-8.82
Philippines,"Cinema, International Release, 1 Seat",5.29 $,3.88-7.94
Philippines,Childcare,Edit,
Philippines,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",146.85 $,52.92-529.18
Philippines,"International Primary School, Yearly for 1 Child","4,908.00 $","1,763.93-14,993.43"
Philippines,Clothing And Shoes,Edit,
Philippines,1 Pair of Jeans (Levis 501 Or Similar),38.70 $,12.35-70.56
Philippines,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",24.52 $,8.82-44.10
Philippines,1 Pair of Nike Running Shoes (Mid-Range),68.12 $,39.69-98.78
Philippines,1 Pair of Men Leather Business Shoes,61.03 $,26.46-114.66
Philippines,Rent Per Month,Edit,
Philippines,Apartment (1 bedroom) in City Centre,318.12 $,141.11-705.57
Philippines,Apartment (1 bedroom) Outside of Centre,172.70 $,88.20-352.79
Philippines,Apartment (3 bedrooms) in City Centre,681.81 $,"264.59-1,763.93"
Philippines,Apartment (3 bedrooms) Outside of Centre,369.90 $,176.39-970.16
Philippines,Buy Apartment Price,Edit,
Philippines,Price per Square Meter to Buy Apartment in City Centre,"2,514.19 $","881.97-4,939.01"
Philippines,Price per Square Meter to Buy Apartment Outside of Centre,"1,265.17 $","440.98-2,645.90"
Philippines,Salaries And Financing,Edit,
Philippines,Average Monthly Net Salary (After Tax),339.91 $,
Philippines,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.34,5.00-11.00
Thailand,Restaurants,Edit,Range
Thailand,"Meal, Inexpensive Restaurant",2.17 $,1.22-5.42
Thailand,"Meal for 2 People, Mid-range Restaurant, Three-course",21.67 $,13.54-50.00
Thailand,McMeal at McDonalds (or Equivalent Combo Meal),5.42 $,4.31-7.00
Thailand,Domestic Beer (0.5 liter draught),1.90 $,1.35-3.25
Thailand,Imported Beer (0.33 liter bottle),3.00 $,2.17-5.01
Thailand,Cappuccino (regular),1.80 $,0.98-3.39
Thailand,Coke/Pepsi (0.33 liter bottle),0.60 $,0.41-1.35
Thailand,Water (0.33 liter bottle),0.33 $,0.24-0.54
Thailand,Markets,Edit,
Thailand,"Milk (regular), (1 liter)",1.57 $,1.16-2.57
Thailand,Loaf of Fresh White Bread (500g),1.27 $,0.81-3.25
Thailand,"Rice (white), (1kg)",1.14 $,0.54-2.09
Thailand,Eggs (regular) (12),1.70 $,1.14-2.44
Thailand,Local Cheese (1kg),15.83 $,8.13-32.51
Thailand,Chicken Fillets (1kg),2.46 $,1.35-4.47
Thailand,Beef Round (1kg) (or Equivalent Back Leg Red Meat),9.95 $,5.42-16.80
Thailand,Apples (1kg),2.52 $,1.08-4.06
Thailand,Banana (1kg),1.10 $,0.54-2.44
Thailand,Oranges (1kg),1.79 $,0.81-3.25
Thailand,Tomato (1kg),1.31 $,0.54-2.17
Thailand,Potato (1kg),1.32 $,0.81-2.03
Thailand,Onion (1kg),1.06 $,0.60-1.63
Thailand,Lettuce (1 head),1.02 $,0.41-2.03
Thailand,Water (1.5 liter bottle),0.44 $,0.27-0.68
Thailand,Bottle of Wine (Mid-Range),16.25 $,9.48-23.03
Thailand,Domestic Beer (0.5 liter bottle),1.59 $,1.22-2.17
Thailand,Imported Beer (0.33 liter bottle),2.55 $,1.35-4.06
Thailand,Cigarettes 20 Pack (Marlboro),3.85 $,2.71-4.33
Thailand,Transportation,Edit,
Thailand,One-way Ticket (Local Transport),0.81 $,0.27-1.35
Thailand,Monthly Pass (Regular Price),28.66 $,16.25-54.18
Thailand,Taxi Start (Normal Tariff),0.95 $,0.95-2.09
Thailand,Taxi 1km (Normal Tariff),1.05 $,0.60-1.35
Thailand,Taxi 1hour Waiting (Normal Tariff),4.66 $,2.71-6.77
Thailand,Gasoline (1 liter),1.13 $,0.95-1.29
Thailand,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"26,818.94 $","18,962.89-54,179.69"
Thailand,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"23,858.50 $","21,671.87-25,735.35"
Thailand,Utilities (Monthly),Edit,
Thailand,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",66.68 $,40.63-132.40
Thailand,Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.07 $,7.86-16.25
